composition,energy,atoms,e_per_atom,oxides,oxide_e_per_atom,e_per_atom-sum(oxide_e_per_atom)
Co4Hf4Ba8O24,-290.23086,40.0,-7.2557715,"['Co-O', 'Hf-O', 'Ba-O']",-22.17322779416667,14.917456294166671
Co2Hf6Ba8O24,-319.30048,40.0,-7.982512,"['Co-O', 'Hf-O', 'Ba-O']",-22.17322779416667,14.190715794166671
Co1Hf7Ba8O24,-333.59116,40.0,-8.339779,"['Co-O', 'Hf-O', 'Ba-O']",-22.17322779416667,13.83344879416667
Nb4Co4Ba8O24,-288.95209,40.0,-7.22380225,"['Nb-O', 'Co-O', 'Ba-O']",-21.461478178333337,14.237675928333337
O24Ba8Zr6Fe2,-310.36159,40.0,-7.7590397499999995,"['Ba-O', 'Zr-O', 'Fe-O']",-22.13496515366667,14.37592540366667
Nb7Co1Ba8O24,-317.91798,40.0,-7.9479495,"['Nb-O', 'Co-O', 'Ba-O']",-21.461478178333337,13.513528678333337
Co4Ba8O24Ta4,-300.09931,40.0,-7.50248275,"['Co-O', 'Ba-O', 'Ta-O']",-21.759771467142862,14.257288717142862
Co2Ba8O24Ta6,-326.31094,40.0,-8.157773500000001,"['Co-O', 'Ba-O', 'Ta-O']",-21.759771467142862,13.60199796714286
Co1Ba8O24Ta7,-334.01663,40.0,-8.35041575,"['Co-O', 'Ba-O', 'Ta-O']",-21.759771467142862,13.409355717142862
O24Co4Ba8Zr4,-283.20104,40.0,-7.080025999999999,"['Co-O', 'Ba-O', 'Zr-O']",-21.498338261666667,14.418312261666667
O24Co2Ba8Zr6,-308.07246,40.0,-7.7018115,"['Co-O', 'Ba-O', 'Zr-O']",-21.498338261666667,13.796526761666668
O24Co1Ba8Zr7,-320.74113,40.0,-8.01852825,"['Co-O', 'Ba-O', 'Zr-O']",-21.498338261666667,13.479810011666668
Hf4Ba8O24Fe4,-299.05519,40.0,-7.4763797499999995,"['Hf-O', 'Ba-O', 'Fe-O']",-22.809854686166666,15.333474936166667
Hf6Ba8O24Fe2,-323.60526,40.0,-8.0901315,"['Hf-O', 'Ba-O', 'Fe-O']",-22.809854686166666,14.719723186166666
Hf7Ba8O24Fe1,-336.00428,40.0,-8.400107,"['Hf-O', 'Ba-O', 'Fe-O']",-22.809854686166666,14.409747686166666
Nb4Ba8O24Fe4,-297.63098,40.0,-7.440774500000001,"['Nb-O', 'Ba-O', 'Fe-O']",-22.098105070333332,14.657330570333333
Nb6Ba8O24Fe2,-312.98401,40.0,-7.8246002500000005,"['Nb-O', 'Ba-O', 'Fe-O']",-22.098105070333332,14.273504820333333
Nb7Ba8O24Fe1,-319.18631,40.0,-7.979657749999999,"['Nb-O', 'Ba-O', 'Fe-O']",-22.098105070333332,14.118447320333333
Fe4Ba8O24Ta4,-309.03199,40.0,-7.72579975,"['Fe-O', 'Ba-O', 'Ta-O']",-22.396398359142857,14.670598609142857
Fe2Ba8O24Ta6,-325.44177,40.0,-8.136044250000001,"['Fe-O', 'Ba-O', 'Ta-O']",-22.396398359142857,14.260354109142856
Fe1Ba8O24Ta7,-335.72498,40.0,-8.3931245,"['Fe-O', 'Ba-O', 'Ta-O']",-22.396398359142857,14.003273859142856
O24Ba8Zr4Fe4,-291.91538,40.0,-7.2978845,"['Ba-O', 'Zr-O', 'Fe-O']",-22.13496515366667,14.83708065366667
O24Ba8Zr6Fe2,-312.59768,40.0,-7.814942,"['Ba-O', 'Zr-O', 'Fe-O']",-22.13496515366667,14.32002315366667
O24Ba8Zr7Fe1,-323.13757,40.0,-8.078439249999999,"['Ba-O', 'Zr-O', 'Fe-O']",-22.13496515366667,14.056525903666671
Ca8Fe8O24,-253.06015,40.0,-6.32650375,"['Ca-O', 'Fe-O']",-13.156081807,6.829578057
Ca1Ba7O24Fe8,-251.31954,40.0,-6.2829885,"['Ca-O', 'Ba-O', 'Fe-O']",-19.069654321999998,12.786665821999998
Ca2Ba6O24Fe8,-251.31562,40.0,-6.2828905,"['Ca-O', 'Ba-O', 'Fe-O']",-19.069654321999998,12.786763821999998
Ca4Ba4O24Fe8,-251.1475,40.0,-6.2786875,"['Ca-O', 'Ba-O', 'Fe-O']",-19.069654321999998,12.790966821999998
Ca6Ba2O24Fe8,-252.17023,40.0,-6.30425575,"['Ca-O', 'Ba-O', 'Fe-O']",-19.069654321999998,12.765398571999999
O24Ba7Ce1Fe8,-259.83651,40.0,-6.49591275,"['Ba-O', 'Ce-O', 'Fe-O']",-21.423732774142856,14.927820024142857
O24Ba6Ce2Fe8,-267.42888,40.0,-6.685722,"['Ba-O', 'Ce-O', 'Fe-O']",-21.423732774142856,14.738010774142856
Fe8O24Dy8,-287.26545,40.0,-7.1816362499999995,"['Fe-O', 'Dy-O']",-15.125724667,7.944088417000001
Fe8Ba7O24Dy1,-256.79973,40.0,-6.41999325,"['Fe-O', 'Ba-O', 'Dy-O']",-21.039297182,14.619303931999998
Fe8Ba6O24Dy2,-261.93565,40.0,-6.54839125,"['Fe-O', 'Ba-O', 'Dy-O']",-21.039297182,14.490905931999999
Fe8Ba4O24Dy4,-269.71307,40.0,-6.742826750000001,"['Fe-O', 'Ba-O', 'Dy-O']",-21.039297182,14.296470431999998
Fe8Ba2O24Dy6,-280.22101,40.0,-7.00552525,"['Fe-O', 'Ba-O', 'Dy-O']",-21.039297182,14.033771931999999
Gd8Fe8O24,-364.96346,40.0,-9.1240865,"['Gd-O', 'Fe-O']",-18.80136145,9.677274950000001
Gd1Ba7O24Fe8,-266.44089,40.0,-6.66102225,"['Gd-O', 'Ba-O', 'Fe-O']",-24.714933965,18.053911714999998
Gd2Ba6O24Fe8,-281.23437,40.0,-7.030859250000001,"['Gd-O', 'Ba-O', 'Fe-O']",-24.714933965,17.684074715
Gd4Ba4O24Fe8,-311.58238,40.0,-7.7895595,"['Gd-O', 'Ba-O', 'Fe-O']",-24.714933965,16.925374465
Gd6Ba2O24Fe8,-343.4822,40.0,-8.587055,"['Gd-O', 'Ba-O', 'Fe-O']",-24.714933965,16.127878965
Ho8O24Fe8,-286.21947,40.0,-7.15548675,"['Ho-O', 'Fe-O']",-15.1400286075,7.9845418575
Fe8Ba7O24Ho1,-256.67861,40.0,-6.41696525,"['Fe-O', 'Ba-O', 'Ho-O']",-21.053601122499998,14.636635872499998
Fe8Ba6O24Ho2,-261.69677,40.0,-6.54241925,"['Fe-O', 'Ba-O', 'Ho-O']",-21.053601122499998,14.511181872499998
Fe8Ba4O24Ho4,-269.1326,40.0,-6.728315,"['Fe-O', 'Ba-O', 'Ho-O']",-21.053601122499998,14.325286122499998
Fe8Ba2O24Ho6,-279.46099,40.0,-6.986524749999999,"['Fe-O', 'Ba-O', 'Ho-O']",-21.053601122499998,14.067076372499999
Fe8O24La8,-298.58923,40.0,-7.464730749999999,"['Fe-O', 'La-O']",-15.121699375,7.656968625000001
Fe7Co1Ba7O24La1,-256.03849,40.0,-6.400962250000001,"['Fe-O', 'Co-O', 'Ba-O', 'La-O']",-27.115485225,20.714522975
Fe6Co2Ba7O24La1,-254.40653,40.0,-6.36016325,"['Fe-O', 'Co-O', 'Ba-O', 'La-O']",-27.115485225,20.755321975
Fe4Co4Ba7O24La1,-250.61914,40.0,-6.2654784999999995,"['Fe-O', 'Co-O', 'Ba-O', 'La-O']",-27.115485225,20.850006725
Fe8Ba7O24La1,-258.02951,40.0,-6.45073775,"['Fe-O', 'Ba-O', 'La-O']",-21.03527189,14.58453414
Fe7Co1Ba6O24La2,-262.81164,40.0,-6.570291,"['Fe-O', 'Co-O', 'Ba-O', 'La-O']",-27.115485225,20.545194225
Fe6Co2Ba6O24La2,-260.95149,40.0,-6.52378725,"['Fe-O', 'Co-O', 'Ba-O', 'La-O']",-27.115485225,20.591697975000002
Fe4Co4Ba6O24La2,-257.12448,40.0,-6.4281120000000005,"['Fe-O', 'Co-O', 'Ba-O', 'La-O']",-27.115485225,20.687373225
Fe8Ba6O24La2,-264.51027,40.0,-6.61275675,"['Fe-O', 'Ba-O', 'La-O']",-21.03527189,14.422515140000002
Fe6Co2Ba4O24La4,-272.44867,40.0,-6.81121675,"['Fe-O', 'Co-O', 'Ba-O', 'La-O']",-27.115485225,20.304268475
Fe8Ba4O24La4,-276.01249,40.0,-6.900312250000001,"['Fe-O', 'Ba-O', 'La-O']",-21.03527189,14.13495964
Fe8Ba2O24La6,-288.42992,40.0,-7.210748,"['Fe-O', 'Ba-O', 'La-O']",-21.03527189,13.824523890000002
Mg8Fe8O24,-227.60087,40.0,-5.69002175,"['Mg-O', 'Fe-O']",-12.700860992,7.010839242000001
Mg1Ba7O24Fe8,-248.07456,40.0,-6.201864,"['Mg-O', 'Ba-O', 'Fe-O']",-18.614433507,12.412569507
Mg2Ba6O24Fe8,-244.7603,40.0,-6.1190075,"['Mg-O', 'Ba-O', 'Fe-O']",-18.614433507,12.495426007
Mg4Ba4O24Fe8,-237.69362,40.0,-5.9423405,"['Mg-O', 'Ba-O', 'Fe-O']",-18.614433507,12.672093007
Mg6Ba2O24Fe8,-232.91159,40.0,-5.82278975,"['Mg-O', 'Ba-O', 'Fe-O']",-18.614433507,12.791643757000001
Nd8Fe8O24,-292.75161,40.0,-7.318790250000001,"['Nd-O', 'Fe-O']",-14.962137201500001,7.6433469515
Nd1Ba7O24Fe8,-257.38531,40.0,-6.4346327500000005,"['Nd-O', 'Ba-O', 'Fe-O']",-20.8757097165,14.4410769665
Nd2Ba6O24Fe8,-263.14492,40.0,-6.578623,"['Nd-O', 'Ba-O', 'Fe-O']",-20.8757097165,14.2970867165
Nd4Ba4O24Fe8,-272.88791,40.0,-6.822197749999999,"['Nd-O', 'Ba-O', 'Fe-O']",-20.8757097165,14.053511966500002
Nd6Ba2O24Fe8,-284.15234,40.0,-7.1038084999999995,"['Nd-O', 'Ba-O', 'Fe-O']",-20.8757097165,13.771901216500002
Pr8Fe8O24,-293.43315,40.0,-7.33582875,"['Pr-O', 'Fe-O']",-14.920744202,7.584915452
Pr1Ba7O24Fe8,-257.44475,40.0,-6.43611875,"['Pr-O', 'Ba-O', 'Fe-O']",-20.834316717,14.398197967
Pr2Ba6O24Fe8,-263.27763,40.0,-6.581940749999999,"['Pr-O', 'Ba-O', 'Fe-O']",-20.834316717,14.252375967
Pr4Ba4O24Fe8,-273.31376,40.0,-6.832844,"['Pr-O', 'Ba-O', 'Fe-O']",-20.834316717,14.001472717
Pr6Ba2O24Fe8,-284.62147,40.0,-7.1155367499999995,"['Pr-O', 'Ba-O', 'Fe-O']",-20.834316717,13.718779967
O24Fe8Sm8,-290.93562,40.0,-7.2733905,"['Fe-O', 'Sm-O']",-15.02272431075,7.7493338107500005
O24Ba7Sm1Fe8,-257.20216,40.0,-6.430054,"['Ba-O', 'Sm-O', 'Fe-O']",-20.93629682575,14.506242825749998
O24Ba6Sm2Fe8,-262.75281,40.0,-6.56882025,"['Ba-O', 'Sm-O', 'Fe-O']",-20.93629682575,14.367476575749999
O24Ba4Sm4Fe8,-271.82558,40.0,-6.7956395,"['Ba-O', 'Sm-O', 'Fe-O']",-20.93629682575,14.140657325749999
O24Ba2Sm6Fe8,-282.86157,40.0,-7.071539249999999,"['Ba-O', 'Sm-O', 'Fe-O']",-20.93629682575,13.86475757575
Sr8Fe8O24,-252.50348,40.0,-6.312587,"['Sr-O', 'Fe-O']",-12.769143447000001,6.456556447000001
Sr1Mn1Ba7O24Fe7,-253.90376,40.0,-6.347594,"['Sr-O', 'Mn-O', 'Ba-O', 'Fe-O']",-26.538984452,20.191390452
Sr1Mn2Ba7O24Fe6,-256.46506,40.0,-6.4116265,"['Sr-O', 'Mn-O', 'Ba-O', 'Fe-O']",-26.538984452,20.127357952
Sr1Ba7O24Fe8,-251.38883,40.0,-6.28472075,"['Sr-O', 'Ba-O', 'Fe-O']",-18.682715962000003,12.397995212000003
Sr2Ba6O24Fe8,-251.44797,40.0,-6.28619925,"['Sr-O', 'Ba-O', 'Fe-O']",-18.682715962000003,12.396516712000004
Sr4Ba4O24Fe8,-251.50978,40.0,-6.2877445000000005,"['Sr-O', 'Ba-O', 'Fe-O']",-18.682715962000003,12.394971462000003
Sr6Ba2O24Fe8,-252.02687,40.0,-6.30067175,"['Sr-O', 'Ba-O', 'Fe-O']",-18.682715962000003,12.382044212000004
Ba8O24Al8,-263.20671,40.0,-6.580167749999999,"['Ba-O', 'Al-O']",-13.394870039,6.814702289000001
Fe7Ba8O24Al1,-252.16824,40.0,-6.304206,"['Fe-O', 'Ba-O', 'Al-O']",-20.111710266000003,13.807504266000002
Fe6Ba8O24Al2,-253.51405,40.0,-6.33785125,"['Fe-O', 'Ba-O', 'Al-O']",-20.111710266000003,13.773859016000003
