Simulated Composition,Energy above convex hull (meV/atom)
"Ba7Zn1Co8O24
",177.283020385
"Ba7Zn1Fe8O24
",150.371025947
"Ba7Mn8Zn1O24
",202.092457302
"Ba7Zn1Ni8O24
",325.497887744
"Ba6Zn2Co8O24
",249.549443408
"Ba6Hf2Zn2Co6O24
",245.647988608
"Ba6Nb2Zn2Co6O24
",210.375206344
"Ba6Ta2Zn2Co6O24
",200.268881441
"Ba6Ti2Zn2Co6O24
",222.927320658
"Ba6Zr2Zn2Co6O24
",218.800570608
"Ba6Zn2Fe8O24
",239.214774203
"Ba6Hf2Zn2Fe6O24
",229.790128281
"Ba6Nb2Zn2Fe6O24
",214.185752358
"Ba6Ta2Zn2Fe6O24
",182.129032917
"Ba6Ti2Zn2Fe6O24
",241.537702912
"Ba6Zr2Zn2Fe6O24
",296.501210281
"Ba6Mn8Zn2O24
",276.217368746
"Ba6Hf2Mn6Zn2O24
",219.470530781
"Ba6Mn6Nb2Zn2O24
",193.721693637
"Ba6Ta2Mn6Zn2O24
",193.037892012
"Ba6Ti2Mn6Zn2O24
",209.634412781
"Ba6Zr2Mn6Zn2O24
",201.402112781
"Ba6Zn2Ni8O24
",407.147186056
"Ba6Hf2Zn2Ni6O24
",396.883335407
"Ba6Nb2Zn2Ni6O24
",346.912901124
"Ba6Ta2Zn2Ni6O24
",340.489474124
"Ba6Ti2Zn2Ni6O24
",388.395179407
"Ba6Zr2Zn2Ni6O24
",344.799275407
"Ba4La1Zn3Ni8O24
",0.0
"Ba4La1Zn3Co8O24
",259.721126072
"Ba4La1Zn3Fe8O24
",253.584854873
"Ba4La1Mn8Zn3O24
",244.558933704
"La7Zn1Co8O24
",73.7475037184
"La7Zn1Fe8O24
",79.884325527
"La7Mn8Zn1O24
",64.766785692
"La7Zn1Ni8O24
",188.139583805
"La6Zn2Co8O24
",121.202058532
"La6Hf2Zn2Co6O24
",146.594935546
"La6Nb2Zn2Co6O24
",143.14427
"La6Ta2Zn2Co6O24
",140.87646025
"La6Ti2Zn2Co6O24
",140.791488296
"La6Zr2Zn2Co6O24
",114.194239296
"La6Zn2Fe8O24
",120.565464054
"La6Hf2Zn2Fe6O24
",156.51523
"La6Nb2Zn2Fe6O24
",110.462825
